                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3228,                 4.2387,                 4.2367,                0.00174,                0.52174,                0.00156,                0.00054,                 2.9392,                  4.427,                 4.1362,                 0.0883,                 0.0013,                 0.0013
                      1,                 3.0288,                 4.1458,                 3.8592,                0.00174,                0.52174,                0.00172,                0.00054,                 2.9191,                 4.2959,                 4.1068,               0.075673,              0.0026733,              0.0026733
                      2,                 3.3437,                 4.0199,                 4.1124,                0.00174,                0.52174,                 0.0016,                0.00055,                 2.9064,                 4.2286,                 4.0763,               0.063019,              0.0040188,              0.0040188
                      3,                 3.2344,                 3.9457,                 3.7835,                0.00188,                0.56522,                0.00215,                0.00064,                 2.9071,                 4.1991,                 4.0519,               0.050337,              0.0053367,              0.0053367
                      4,                 3.2044,                 3.5009,                 4.0558,                0.00188,                0.56522,                0.00194,                 0.0006,                 2.9076,                 4.1612,                 4.0335,               0.037627,              0.0066268,              0.0066268
                      5,                 3.0178,                 3.4827,                 4.0753,                0.00188,                0.56522,                0.00188,                0.00057,                 2.9075,                 4.1292,                 4.0248,               0.024889,              0.0078891,              0.0078891
                      6,                 3.3491,                 3.2117,                 3.9207,                0.00037,                0.04348,                0.00039,                0.00023,                 2.8986,                 4.1434,                 4.0315,               0.012124,              0.0091238,              0.0091238
                      7,                 2.6957,                 3.1363,                 3.5068,                0.00294,                0.26087,                 0.0022,                0.00077,                 2.8516,                  4.058,                 4.0092,               0.009307,               0.009307,               0.009307
                      8,                 2.8872,                 2.9636,                 3.6605,                0.23983,                0.08696,                0.07279,                0.01573,                 2.6638,                 3.9599,                 3.6769,               0.009307,               0.009307,               0.009307
                      9,                 2.9173,                 2.8925,                 3.5812,                0.01638,                0.04348,                0.00715,                0.00201,                 2.4833,                 6.6179,                 3.9308,               0.009208,               0.009208,               0.009208
                     10,                  2.857,                  2.727,                 3.4989,                0.00159,                0.47826,                0.00233,                0.00066,                  2.895,                 5.5438,                 4.4956,               0.009109,               0.009109,               0.009109
                     11,                 3.0403,                 2.9693,                 3.5073,                0.14839,                0.29561,                0.15337,                0.03762,                 2.4575,                 17.017,                 3.9563,                0.00901,                0.00901,                0.00901
                     12,                 2.6253,                 2.5982,                 3.2704,                0.02264,                 0.6087,                 0.0336,                0.00777,                 2.6557,                 88.231,                 4.2751,               0.008911,               0.008911,               0.008911
                     13,                 2.6771,                 2.4785,                 3.2121,                0.16728,                0.47826,                0.22842,                0.07716,                 2.3499,                 27.758,                 3.8206,               0.008812,               0.008812,               0.008812
                     14,                 2.5239,                 2.4293,                 3.1484,                 0.1792,                0.65217,                0.27169,                0.09948,                 2.1794,                 6.3773,                 3.4698,               0.008713,               0.008713,               0.008713
                     15,                 2.6309,                   2.44,                 3.1512,                0.16201,                0.30435,                0.17157,                0.07178,                 2.0478,                 9.4676,                 3.2776,               0.008614,               0.008614,               0.008614
                     16,                 2.6043,                 2.2841,                 3.0786,                0.08026,                 0.3913,                0.27754,                0.15389,                 2.2691,                 25.248,                 3.1918,               0.008515,               0.008515,               0.008515
                     17,                 2.4368,                 2.2495,                 3.0293,                0.09091,                0.04348,                0.03077,                0.01277,                 3.1243,                 92.393,                 6.5081,               0.008416,               0.008416,               0.008416
                     18,                 2.4104,                  2.277,                  2.948,                0.07426,                0.34783,                0.15835,                0.05085,                 2.3268,                 20.685,                 3.2729,               0.008317,               0.008317,               0.008317
                     19,                 2.2944,                 2.0569,                 2.8497,                0.19658,                0.34783,                0.20689,                 0.0996,                  2.108,                 6.3912,                 2.9107,               0.008218,               0.008218,               0.008218
                     20,                 2.3843,                 2.0586,                 2.8705,                0.40379,                0.34783,                0.38559,                0.10922,                 2.4222,                 2.6552,                 3.0519,               0.008119,               0.008119,               0.008119
                     21,                 2.3029,                 1.9163,                 2.7794,                0.09036,                 0.3913,                0.25655,                0.09434,                 2.0402,                 15.229,                 2.7508,                0.00802,                0.00802,                0.00802
                     22,                 2.2366,                 1.9464,                 2.7838,                0.28685,                0.75213,                0.38947,                0.16963,                 2.0519,                 2.1503,                  2.666,               0.007921,               0.007921,               0.007921
                     23,                 2.1851,                 1.7889,                 2.6963,                0.42583,                0.54852,                 0.5048,                0.23778,                 1.9647,                 1.8911,                  2.555,               0.007822,               0.007822,               0.007822
                     24,                 2.1965,                 1.7585,                 2.7309,                0.59663,                0.51478,                0.54854,                 0.1914,                  2.152,                 1.9099,                 2.8578,               0.007723,               0.007723,               0.007723
                     25,                 2.1111,                 1.7378,                 2.6508,                0.35386,                0.30435,                0.31761,                 0.1443,                 1.9334,                 4.0053,                 2.6629,               0.007624,               0.007624,               0.007624
                     26,                 2.0632,                 1.7233,                 2.5837,                0.52876,                0.56522,                0.49871,                0.23858,                 2.0572,                 1.8763,                 2.6309,               0.007525,               0.007525,               0.007525
                     27,                  2.009,                  1.683,                 2.5437,                0.61632,                0.47826,                0.59767,                0.30095,                 1.8452,                 3.0766,                 2.4476,               0.007426,               0.007426,               0.007426
                     28,                 1.9598,                 1.5637,                 2.4687,                0.76864,                0.65217,                 0.7693,                 0.3597,                 1.7357,                 1.8338,                  2.408,               0.007327,               0.007327,               0.007327
                     29,                 1.9789,                 1.6906,                 2.4855,                0.74608,                0.65217,                 0.6919,                0.36982,                 1.6562,                 3.1277,                 2.2581,               0.007228,               0.007228,               0.007228
                     30,                 1.9341,                 1.5295,                 2.4879,                0.73231,                0.73913,                0.72801,                 0.3759,                   1.67,                 1.6399,                 2.2857,               0.007129,               0.007129,               0.007129
                     31,                 1.8129,                 1.4311,                 2.3608,                0.90659,                0.69565,                0.84532,                0.51035,                 1.6023,                 1.3903,                  2.143,                0.00703,                0.00703,                0.00703
                     32,                 1.8433,                  1.428,                 2.3896,                0.66325,                0.86957,                0.81946,                0.45933,                  1.613,                 1.4325,                 2.2273,               0.006931,               0.006931,               0.006931
                     33,                 1.7835,                 1.4382,                 2.3195,                0.79871,                0.51782,                0.67046,                0.35357,                 1.6576,                 1.6173,                 2.3143,               0.006832,               0.006832,               0.006832
                     34,                  1.562,                 1.5292,                 2.0857,                0.68428,                0.84846,                0.86564,                0.51866,                 1.5183,                 1.7389,                   2.08,               0.006733,               0.006733,               0.006733
                     35,                 1.6036,                 1.3268,                 2.1605,                0.91794,                0.82609,                 0.9393,                0.56583,                 1.5705,                 1.2462,                 2.1559,               0.006634,               0.006634,               0.006634
                     36,                 1.8058,                 1.4198,                 2.2362,                0.87324,                0.86957,                   0.94,                0.53828,                 1.4812,                 1.3502,                 1.9778,               0.006535,               0.006535,               0.006535
                     37,                 1.7488,                  1.305,                 2.1869,                0.80551,                0.90071,                0.92139,                  0.548,                 1.4386,                 1.6621,                  2.006,               0.006436,               0.006436,               0.006436
                     38,                 1.5685,                 1.2296,                 2.0822,                0.90916,                0.87029,                  0.963,                0.56388,                 1.4867,                  1.224,                 2.0132,               0.006337,               0.006337,               0.006337
                     39,                 1.6221,                 1.3093,                  2.105,                0.87177,                0.88717,                0.94442,                0.60743,                 1.3859,                 1.0721,                 1.8484,               0.006238,               0.006238,               0.006238
                     40,                 1.5402,                  1.357,                 2.0022,                0.80787,                      1,                0.94401,                0.62513,                  1.359,                 1.0222,                 1.8308,               0.006139,               0.006139,               0.006139
                     41,                 1.6657,                 1.2057,                 2.1121,                0.91863,                0.98214,                0.99006,                 0.6669,                 1.2403,                 1.0019,                 1.7214,                0.00604,                0.00604,                0.00604
                     42,                 1.5519,                 1.1274,                 1.9778,                0.97126,                0.86957,                0.97132,                0.62953,                 1.2663,                  1.201,                 1.7867,               0.005941,               0.005941,               0.005941
                     43,                 1.5491,                 1.2658,                  2.048,                0.96452,                0.65217,                0.87703,                0.56621,                 1.2684,                  1.394,                 1.7553,               0.005842,               0.005842,               0.005842
                     44,                 1.5134,                 1.1849,                 1.9517,                0.66028,                0.95652,                  0.894,                0.57694,                 1.2896,                 1.2538,                 1.7604,               0.005743,               0.005743,               0.005743
