                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1293,                 4.5435,                 4.1683,                0.00093,                0.13253,                0.00116,                0.00037,                 2.3788,                 16.112,                 3.3596,               0.070323,              0.0032975,              0.0032975
                      1,                 3.1676,                 3.9565,                 3.9245,                0.02305,                0.20482,                0.01283,                0.00292,                 2.5511,                 243.97,                 3.4506,               0.040279,              0.0065871,              0.0065871
                      2,                 3.0291,                 3.5839,                 3.6713,                0.00754,                0.26506,                0.00416,                0.00126,                 2.6109,                  15485,                 5.2394,               0.010191,              0.0098326,              0.0098326
                      3,                 2.9107,                 3.4073,                 3.4244,                0.15967,                0.16867,                0.06629,                0.01696,                 2.5051,                 123.07,                 3.5893,               0.009802,               0.009802,               0.009802
                      4,                 2.6878,                 3.0064,                 3.1682,                0.04362,                0.20482,                0.04226,                0.00989,                 2.4965,                 81.868,                 3.3964,               0.009802,               0.009802,               0.009802
                      5,                 2.5463,                 2.7552,                 3.0598,                 0.1383,                0.46988,                0.18925,                0.06862,                 1.9659,                 17.844,                 2.4867,               0.009736,               0.009736,               0.009736
                      6,                 2.3364,                 2.5478,                 2.8877,                0.31133,                0.26506,                0.17977,                0.07432,                 1.8704,                 37.551,                 2.3982,                0.00967,                0.00967,                0.00967
                      7,                 2.1345,                 2.4693,                 2.7595,                0.44374,                0.36145,                0.37785,                0.17234,                  1.687,                 5.4687,                 2.4163,               0.009604,               0.009604,               0.009604
                      8,                  2.041,                 2.3225,                 2.6742,                0.46846,                0.45783,                0.39556,                0.19605,                 1.5687,                 4.7847,                 2.2922,               0.009538,               0.009538,               0.009538
                      9,                 1.9524,                 2.1981,                 2.5692,                0.53776,                0.56627,                0.48864,                0.24348,                 1.6591,                 5.4728,                 2.2625,               0.009472,               0.009472,               0.009472
                     10,                 1.8901,                 2.1371,                 2.5141,                0.53222,                0.54217,                0.55801,                0.28611,                  1.457,                 11.881,                 2.1456,               0.009406,               0.009406,               0.009406
                     11,                 1.8272,                 1.9515,                 2.4261,                0.69409,                0.56627,                0.59964,                0.33748,                 1.3507,                 3.8522,                 2.0024,                0.00934,                0.00934,                0.00934
                     12,                 1.7079,                  1.897,                 2.3213,                0.64024,                0.60241,                0.64208,                0.37117,                 1.3354,                   4.26,                    1.9,               0.009274,               0.009274,               0.009274
                     13,                 1.7034,                  1.755,                 2.2732,                0.74583,                 0.6506,                0.72371,                0.45632,                 1.3685,                 5.0201,                 1.8533,               0.009208,               0.009208,               0.009208
                     14,                 1.6474,                 1.7399,                 2.2129,                0.83161,                0.60241,                0.75347,                0.44545,                 1.4752,                 8.2776,                 1.9518,               0.009142,               0.009142,               0.009142
                     15,                 1.6081,                 1.6191,                 2.1587,                0.73947,                0.74699,                 0.7911,                0.48086,                 1.2297,                 5.2182,                 1.7566,               0.009076,               0.009076,               0.009076
                     16,                  1.551,                  1.564,                 2.1301,                0.89189,                 0.6958,                0.79144,                0.52193,                 1.2774,                 5.8341,                 1.8377,                0.00901,                0.00901,                0.00901
                     17,                 1.5162,                 1.5583,                 2.0925,                0.83509,                0.73217,                0.79826,                0.49241,                 1.3416,                 5.2601,                 1.8364,               0.008944,               0.008944,               0.008944
                     18,                 1.5022,                 1.5068,                 2.0723,                0.77433,                0.78313,                0.79863,                0.54846,                 1.2132,                 3.3339,                 1.6538,               0.008878,               0.008878,               0.008878
                     19,                 1.4929,                 1.4943,                 2.0533,                0.79495,                0.71084,                0.77684,                0.51527,                 1.2394,                 2.9497,                 1.7285,               0.008812,               0.008812,               0.008812
                     20,                 1.4567,                  1.433,                 2.0099,                0.76031,                0.77108,                0.79502,                0.52125,                 1.1692,                 3.5139,                 1.6779,               0.008746,               0.008746,               0.008746
                     21,                 1.4205,                 1.4264,                 1.9629,                0.74099,                0.72383,                0.75501,                0.47247,                 1.2351,                 2.6396,                 1.7561,                0.00868,                0.00868,                0.00868
                     22,                 1.4027,                 1.3861,                 1.9447,                 0.8344,                0.78313,                0.83009,                0.56255,                 1.1099,                 4.9745,                 1.6257,               0.008614,               0.008614,               0.008614
                     23,                 1.3724,                 1.3656,                 1.9124,                0.72423,                0.68675,                0.77408,                0.49618,                 1.1465,                 4.6401,                 1.6526,               0.008548,               0.008548,               0.008548
                     24,                 1.4152,                 1.3682,                  1.911,                 0.8656,                0.78313,                0.85872,                0.59291,                 1.1769,                 2.0384,                 1.6284,               0.008482,               0.008482,               0.008482
                     25,                 1.3056,                 1.2862,                 1.8098,                0.77113,                0.81928,                0.84532,                 0.5855,                 1.0628,                 2.9127,                 1.5088,               0.008416,               0.008416,               0.008416
                     26,                 1.3263,                 1.3092,                 1.8393,                0.78249,                0.60683,                 0.6928,                0.46535,                 1.2449,                 5.8094,                 1.7101,                0.00835,                0.00835,                0.00835
                     27,                 1.3204,                 1.2555,                 1.8231,                0.81075,                0.73494,                0.81722,                 0.5434,                 1.2274,                 2.6677,                 1.7116,               0.008284,               0.008284,               0.008284
                     28,                 1.2845,                 1.2328,                 1.7943,                0.87535,                0.71084,                0.79656,                0.57365,                 1.2988,                 2.4499,                 1.7038,               0.008218,               0.008218,               0.008218
                     29,                 1.2696,                 1.1846,                 1.7953,                0.82078,                0.75904,                0.83483,                 0.5876,                 1.1375,                 4.3042,                 1.5755,               0.008152,               0.008152,               0.008152
                     30,                 1.2607,                 1.1808,                 1.7778,                0.84663,                0.79812,                0.83514,                0.56759,                 1.1646,                 2.2205,                 1.5861,               0.008086,               0.008086,               0.008086
